# canonical_item_count = 1 per series (Stage, Lead, Piano, Electro, …) + 1 Accessories per brand (if any) + orphans. Items = series for best product context.
brand,canonical_item_count
Bespeco,198
Roland,165
Pearl,137
Other,129
D'Addario,118
Mackie,116
Boss,96
Cordoba,93
Rode,85
Vintage,74
Paiste,72
Innovative Percussion,63
Warm Audio,54
EAW,48
PreSonus,46
RCF,46
Universal Audio,46
Medeli,43
Teenage Engineering,41
Allen & Heath,39
M-Audio,32
Washburn,32
Remo,31
LAG Guitars,30
ADAM Audio,29
Guild,28
Xvive,27
Austrian Audio,25
KRK,25
Ultimate Support,25
Breedlove,24
Heritage Audio,24
Gon Bops,23
FoxGear,22
Rico,22
Akai Professional,20
V-MODA,20
Vicoustic,18
Xotic,18
Antigua,17
Novation,17
On-Stage,17
Moog,16
Spector,16
FZone,15
Montarbo,15
Topp Pro,15
Amphion,14
Beyerdynamic,14
EVE Audio,14
Maton,14
Show,14
Hiwatt,13
Marshall,13
Bohemian,12
ESP,12
HeadRush,12
Promark,12
Dixon,10
Dynaudio,9
Adams,8
Bg France,8
Encore,8
Magma,8
Nord,8
Rhythm Tech,8
Steinberg,8
Headliner,7
Maestro,7
Maybach,7
Oscar Schmidt,7
Santos Martinez,7
Lynx,6
Premier,6
Sequential,6
Solar Guitars,6
Turkish,6
Ashdown,5
Expressive E,5
Fusion,5
Halilit,5
Halilit Expo,5
MJC Ironworks,5
Ampeg,4
Denon DJ,4
Eden,4
Fender,4
Gibson,4
Jasmine,4
Kinsman,4
Rapier,4
Walrus Audio,4
512Audio,3
Aston Microphones,3
Atv,3
Db Percussion,3
Marimba One,3
Perri's,3
Rode X,3
Sample,3
Tombo,3
ASM,2
DrumDots,2
Evans,2
Lee Oskar,2
Oberheim,2
Rogers,2
-,1
Amati,1
Ashdown Engineering,1
Audio-Technica,1
Denon,1
DW,1
Getzen,1
Ketron,1
Mtd,1
Perri'S Leathers,1
Phonon,1
PLAYdifferently,1
Pro Co,1
Randall,1
Rane,1
Rhodes,1
Roger'S,1
Shure,1
Sonarworks,1
Studiologic,1
Udo Audio,1
Visual Sound,1
