Brand,Halilit_Name,Halilit_Price_ILS_IncVAT,Halilit_Price_ILS_ExVAT,Thomann_Name,Match_Score,Thomann_Price_USD,Thomann_Shipping_USD,Thomann_VAT_USD,Thomann_Total_Landed_ILS,Price_Gap_ILS,Margin_Pct,Thomann_URL
RCF,RCF ART 710-A MK5,₪3115,₪2639,RCF Art 710-A MK V,100%,$485,$50,$96,₪2304,₪810,35%,https://www.thomannmusic.com/rcf_art_710_a_mk_v.htm
RCF,RCF ART 708-A MK5,₪2538,₪2150,RCF Art 708-A MK V,100%,$415,$50,$83,₪2002,₪535,26%,https://www.thomannmusic.com/rcf_art_708_a_mk_v.htm
RCF,RCF ART 715-A MK5,₪3865,₪3275,RCF Art 715-A MK V,100%,$619,$50,$120,₪2881,₪983,34%,https://www.thomannmusic.com/rcf_art_715_a_mk_v.htm
RCF,RCF CVR TT 515 Protection Cover,₪274,₪232,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF H-BR 2X COMPACT M 06,₪333,₪282,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF ART 735-A MK5,₪5883,₪4985,RCF Art 735-A MK V,100%,$939,$50,$178,₪4259,₪1623,38%,https://www.thomannmusic.com/rcf_art_735_a_mk_v.htm
RCF,RCF ART 732-A MK5,₪5134,₪4350,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,כיסוי מגן RCF CVR KXL 4-A Protection Cover,₪485,₪411,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF CVR TT 25 II Protection Cover,₪398,₪337,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF F 10XR,₪1450,₪1228,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF H-BR 2X COMPACT M 05,₪333,₪282,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF CVR TTS 15 Padded Cover,₪624,₪528,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,כיסוי מגן RCF CVR NXL 14-A Protection Cover,₪390,₪330,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF CVR TT 22 II Protection Cover,₪376,₪318,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF HDL 20-A,₪13910,₪11788,RCF HDL 20-A,100%,$2555,$50,$468,₪11219,₪2690,23%,https://www.thomannmusic.com/rcf_hdl_20_a.htm
RCF,RCF H-BR 2X COMPACT M 08,₪483,₪409,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
