Brand,Match_Status,Halilit_Name,Halilit_Price_ILS,Halilit_Price_USD,Thomann_Name,Thomann_Price_USD,Price_Difference_USD,Price_Difference_Percent,Cheaper_Platform,Match_Confidence,Availability_Status,Notes
Mackie,UNMATCHED,"Mackie mRING-10 - 10"" Ring Light",N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,Mackie MobileMix,N/A,N/A,Mackie Thump GO,N/A,N/A,N/A,N/A,61%,Thomann no pricing,
Mackie,UNMATCHED,Mackie DB-100,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,Mackie MainStream,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,+Mackie ProFX10v3,N/A,N/A,2MackieProFX10 GO$415,$415.00,N/A,N/A,N/A,75%,Both,
Mackie,UNMATCHED,זוג מוניטורים Mackie CR8BT Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,מיקרופון USB קונדנסר Mackie Chromium,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,Mackie ShowBox Gig Bag,N/A,N/A,4MackieShowBox Backpack$88,$88.00,N/A,N/A,N/A,70%,Both,
Mackie,UNMATCHED,מיקרופון למצלמות ומובייל Mackie EM93M,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,זוג מוניטורים Mackie CR3.5BT Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,+Mackie ProFX6v3,N/A,N/A,MackieProFX6v3 B-Stock$155,$155.00,N/A,N/A,N/A,74%,Both,
Mackie,UNMATCHED,"תיק לרמקול ""Mackie Bag for Thump Speaker 10",N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,+Mackie ProFX12v3,N/A,N/A,2MackieProFX10 GO$415,$415.00,N/A,N/A,N/A,70%,Both,
Mackie,UNMATCHED,סאב וופר Mackie CR8SBT Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,"Mackie mRING-6 6"" Battery-powered Ring Light",N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,Mackie DB-200,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,"""Mackie bag for Thrash212 Speaker 12",N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,מיקרופון קונדנסר לאולפן Mackie Carbon USB Condenser,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,"""Mackie bag for Thrash215 Speaker 15",N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,זוג מוניטורים לאולפן Mackie CR3.5 Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,זוג מוניטורים Mackie CR4.5 Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,UNMATCHED,ערכת מיקרופון לצילום Mackie EM93MK,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,Mackie DLZ Creator XS,N/A,N/A,11MackieDLZ Creator$689,$689.00,N/A,N/A,N/A,81%,Both,
Mackie,UNMATCHED,זוג מוניטורים Mackie CR4.5BT Gen 3,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
Mackie,MATCHED,Mackie CreatorSling - Bag,N/A,N/A,3MackieDLZ Creator Backpack$154,$154.00,N/A,N/A,N/A,64%,Both,
