Brand , Halilit_Product                                    , Halilit_Price_ILS, Match_Status, Thomann_Product                    , Thomann_Price_USD, Thomann_Price_ILS, Match_Confidence, Match_Reason        , Availability
Mackie, "Mackie mRING-10 - 10"" Ring Light"                , TBD              , WEAK_MATCH  , 2MackieProFX10 GO$415              , $415.00          , ₪1515            , 57%             , fuzzy_match_weak    , Both Platforms
Mackie, Mackie MobileMix                                   , TBD              , MATCHED     , Mackie Thump GO                    , N/A              , N/A              , 63%             , fuzzy_match_moderate, Both Platforms
Mackie, Mackie DB-100                                      , TBD              , MATCHED     , 51MackieThump 215$395              , $395.00          , ₪1442            , 62%             , fuzzy_match_moderate, Both Platforms
Mackie, Mackie MainStream                                  , TBD              , MATCHED     , 11MackieDLZ Creator$689            , $689.00          , ₪2515            , 64%             , fuzzy_match_moderate, Both Platforms
Mackie, +Mackie ProFX10v3                                  , TBD              , MATCHED     , 2MackieProFX10 GO$415              , $415.00          , ₪1515            , 85%             , partial_code_match  , Both Platforms
Mackie, זוג מוניטורים Mackie CR8BT Gen 3                   , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 48%             , fuzzy_match_weak    , Both Platforms
Mackie, מיקרופון USB קונדנסר Mackie Chromium               , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 44%             , fuzzy_match_weak    , Both Platforms
Mackie, Mackie ShowBox Gig Bag                             , TBD              , MATCHED     , 4MackieShowBox Backpack$88         , $88.00           , ₪321             , 100%            , fuzzy_match_strong  , Both Platforms
Mackie, מיקרופון למצלמות ומובייל Mackie EM93M              , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 36%             , fuzzy_match_weak    , Both Platforms
Mackie, זוג מוניטורים Mackie CR3.5BT Gen 3                 , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 46%             , fuzzy_match_weak    , Both Platforms
Mackie, +Mackie ProFX6v3                                   , TBD              , MATCHED     , MackieProFX6v3 B-Stock$155         , $155.00          , ₪566             , 85%             , partial_code_match  , Both Platforms
Mackie, "תיק לרמקול ""Mackie Bag for Thump Speaker 10"     , TBD              , MATCHED     , 11MackieBag Thump215/XT$68         , $68.00           , ₪248             , 65%             , fuzzy_match_moderate, Both Platforms
Mackie, +Mackie ProFX12v3                                  , TBD              , MATCHED     , 2MackieProFX10 GO$415              , $415.00          , ₪1515            , 78%             , fuzzy_match_strong  , Both Platforms
Mackie, סאב וופר Mackie CR8SBT Gen 3                       , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 52%             , fuzzy_match_weak    , Both Platforms
Mackie, "Mackie mRING-6 6"" Battery-powered Ring Light"    , TBD              , WEAK_MATCH  , Battery Powered Speaker Accessories, N/A              , N/A              , 57%             , fuzzy_match_weak    , Both Platforms
Mackie, Mackie DB-200                                      , TBD              , MATCHED     , 94Mackie1202 VLZ4$244              , $244.00          , ₪891             , 62%             , fuzzy_match_moderate, Both Platforms
Mackie, """Mackie bag for Thrash212 Speaker 12"            , TBD              , MATCHED     , 1MackieRolling Bag Thump212/XT$128 , $128.00          , ₪467             , 64%             , fuzzy_match_moderate, Both Platforms
Mackie, מיקרופון קונדנסר לאולפן Mackie Carbon USB Condenser, TBD              , WEAK_MATCH  , Mackie Big Knob Passive            , N/A              , N/A              , 37%             , fuzzy_match_weak    , Both Platforms
Mackie, """Mackie bag for Thrash215 Speaker 15"            , TBD              , MATCHED     , 11MackieBag Thump215/XT$68         , $68.00           , ₪248             , 68%             , fuzzy_match_moderate, Both Platforms
Mackie, זוג מוניטורים לאולפן Mackie CR3.5 Gen 3            , TBD              , WEAK_MATCH  , 3MackieDLZ Creator Backpack$154    , $154.00          , ₪562             , 42%             , fuzzy_match_weak    , Both Platforms
Mackie, זוג מוניטורים Mackie CR4.5 Gen 3                   , TBD              , WEAK_MATCH  , 3MackieDLZ Creator Backpack$154    , $154.00          , ₪562             , 47%             , fuzzy_match_weak    , Both Platforms
Mackie, ערכת מיקרופון לצילום Mackie EM93MK                 , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 38%             , fuzzy_match_weak    , Both Platforms
Mackie, Mackie DLZ Creator XS                              , TBD              , MATCHED     , 11MackieDLZ Creator$689            , $689.00          , ₪2515            , 94%             , fuzzy_match_strong  , Both Platforms
Mackie, זוג מוניטורים Mackie CR4.5BT Gen 3                 , TBD              , WEAK_MATCH  , Mackie Thump GO                    , N/A              , N/A              , 46%             , fuzzy_match_weak    , Both Platforms
Mackie, Mackie CreatorSling - Bag                          , TBD              , MATCHED     , 3MackieDLZ Creator Backpack$154    , $154.00          , ₪562             , 93%             , fuzzy_match_strong  , Both Platforms
