Brand,Match_Status,Halilit_Name,Halilit_Price_ILS,Halilit_Price_USD,Thomann_Name,Thomann_Price_USD,Price_Difference_USD,Price_Difference_Percent,Cheaper_Platform,Match_Confidence,Availability_Status,Notes
RCF,MATCHED,RCF ART 710-A MK5,N/A,N/A,10RCFArt 710-A MK V$485,$485.00,N/A,N/A,N/A,84%,Both,
RCF,MATCHED,RCF ART 708-A MK5,N/A,N/A,15RCFArt 708-A MK V$415,$415.00,N/A,N/A,N/A,84%,Both,
RCF,MATCHED,RCF ART 715-A MK5,N/A,N/A,40RCFArt 715-A MK V$619,$619.00,N/A,N/A,N/A,79%,Both,
RCF,UNMATCHED,RCF CVR TT 515 Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,RCF H-BR 2X COMPACT M 06,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF ART 735-A MK5,N/A,N/A,1RCFArt 735-A MK V$939,$939.00,N/A,N/A,N/A,81%,Both,
RCF,MATCHED,RCF ART 732-A MK5,N/A,N/A,22RCFArt 712-A MK V$525,$525.00,N/A,N/A,N/A,79%,Both,
RCF,UNMATCHED,כיסוי מגן RCF CVR KXL 4-A Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,RCF CVR TT 25 II Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF F 10XR,N/A,N/A,25RCFF 10 XR$257,$257.00,N/A,N/A,N/A,73%,Both,
RCF,UNMATCHED,RCF H-BR 2X COMPACT M 05,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,RCF CVR TTS 15 Padded Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,כיסוי מגן RCF CVR NXL 14-A Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,RCF CVR TT 22 II Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF HDL 20-A,N/A,N/A,"8RCFHDL 20-A$2,555",$2555.00,N/A,N/A,N/A,77%,Both,
RCF,UNMATCHED,RCF H-BR 2X COMPACT M 08,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF ART 745-A MK5,N/A,N/A,1RCFArt 735-A MK V$939,$939.00,N/A,N/A,N/A,75%,Both,
RCF,MATCHED,RCF F 12XR,N/A,N/A,25RCFF 10 XR$257,$257.00,N/A,N/A,N/A,65%,Both,
RCF,UNMATCHED,RCF SWM-BR COMPACT M,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF HD 10-A MK5,N/A,N/A,RCF ART 310 A MK IV,N/A,N/A,N/A,N/A,68%,Thomann no pricing,
RCF,MATCHED,RCF CVR 005 Cover for SUB 702-AS MK3,N/A,N/A,11RCFSUB 702-AS MK3$822,$822.00,N/A,N/A,N/A,61%,Both,
RCF,MATCHED,RCF ART 912-AX,N/A,N/A,RCF ART 912-A,N/A,N/A,N/A,N/A,100%,Thomann no pricing,
RCF,UNMATCHED,כיסוי מגן RCF CVR KX 45-A Protection Cover,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,UNMATCHED,עגלת נשיאה RCF KRT-WH 002 Cart,N/A,N/A,NOT FOUND,N/A,N/A,N/A,N/A,0%,Halilit only,
RCF,MATCHED,RCF NXL24A Fly Bar Kit,N/A,N/A,RCFFL-B NXL 44 Fly Bar$304,$304.00,N/A,N/A,N/A,70%,Both,
