Brand,Halilit_Product,Halilit_Price_ILS,Match_Status,Thomann_Product,Thomann_Price_USD,Thomann_Price_ILS,Match_Confidence,Match_Reason,Availability
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
Mackie,Unknown,TBD,NOT FOUND,NOT FOUND ON THOMANN,N/A,N/A,0%,,Halilit Only (Exclusive)
